Category Identifier;Category Name;Category Path;Category Name (de);Category Name (en);Category Path (en)
07d00d08-8631-47f0-b93e-f1bdb45f9a87;Light (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Light (machine-generated)";Light (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Light (machine-generated)"
11fee652-bcdf-4563-b0ce-a2a0ac518bcc;Black and white photography (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Black and white photography (machine-generated)";Black and white photography (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Black and white photography (machine-generated)"
180f7c2c-afe6-4cc1-b3a1-45311043b437;Jets;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Aircrafts\Jets;Jets;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Aircrafts\Jets
307791e2-3110-4071-9424-a79606534aee;Bus (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Bus (machine-generated)";Bus (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Bus (machine-generated)"
14709f32-a727-4799-b324-b28d66e34913;Transportation system (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Transportation system (machine-generated)";Transportation system (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Transportation system (machine-generated)"
e49f950a-c967-4c85-a98f-9e9cdb35b799;Furniture (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Furniture (machine-generated)";Furniture (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Furniture (machine-generated)"
cf4ed861-9aae-4a89-a3c7-debd74b698c8;First flights;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Events (Incidents)\Special flights\First flights;First flights;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Events (Incidents)\Special flights\First flights
1997b7c9-4457-4f11-adfe-5bdfdecb0689;Police + Fire Fighter;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Working life\Police + Fire Fighter;Police + Fire Fighter;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\People in context\Working life\Police + Fire Fighter
3850a350-8088-460b-8f2e-3ad66eb353db;Cultivation (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Cultivation (machine-generated)";Cultivation (machine-generated);"Asset\ETHBIB.Bildarchiv\Subject headings\Tags (machine-generated)\Model ""General"" (Clarifai)\Cultivation (machine-generated)"
4ffd2f05-7a67-4e6e-b4c1-88d4780e3e49;Douglas DC-7C-1229 C Seven Seas, HB-IBL Genève;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Douglas\Douglas DC-7C-1229 C Seven Seas, HB-IBL Genève;Douglas DC-7C-1229 C Seven Seas, HB-IBL Genève;Asset\ETHBIB.Bildarchiv\Subject headings\Subject catalogue\Transportation means\Air traffic\Model of aircraft by manufacturer\Douglas\Douglas DC-7C-1229 C Seven Seas, HB-IBL Genève
