title,date,name,role,img,party
Glarner accuse la gauche d'«inonder notre petit pays de demandeurs d’asile et autres immigrés»,30 avril 2024,Andreas Glarner,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
Glarner instrumentalise des noms d'enfants étrangers pour sa propagande,10 juillet 2018,Andreas Glarner,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FGlarner2_09b7465a9b.png&w=3840&q=75,UDC - AG
"Guy Parmelin au WEF : Se faire humilier par Trump, « c'est de la diplomatie »",21 janvier 2026,Guy Parmelin,Président de la Confédération,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fguy_parmelin_1_428b61b181.jpg&w=3840&q=75,UDC - VD
« Heil Dir Helvetia! » : Christoph Mörgeli lié à un groupe aux actions nocturnes,01 juillet 2016,Christoph Mörgeli, Ancien conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FChristoph_Moergeli_e5ba6e8bf2.png&w=3840&q=75,UDC - ZH
Hermann Weyeneth: diffamation et violations des normes de protection animale,16 août 2002,Hermann Weyeneth,Conseiller National,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fweyeneth2_8ac3bcd0be.jpg&w=3840&q=75,UDC - BE
"Ignazio Cassis au service de la propagande russe, avec le sourire",22 septembre 2022,Ignazio Cassis,Président de la Confédération,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FIgnazio_Cassis_49a70b59a9.png&w=3840&q=75,PLR - TI
Ignazio Cassis toujours incapable de condamner les crimes de guerre israéliens,04 juin 2025,Ignazio Cassis,Ministre des affaires étrangères,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FIgnazio_Cassis_49a70b59a9.png&w=3840&q=75,PLR - TI
Infantino décerne un «prix de la paix» à Trump,05 décembre 2025,Gianni Infantino,Président de la FIFA,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FInfantino_52aef1d365.png&w=3840&q=75,Autre - CH
"Isabelle Moret associe les Verts à des ""Khmers verts""",24 septembre 2021,Isabelle Moret,"Conseillère nationale, candidate au Conseil d'État vaudois",/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fisabelle_moret_1_4353513a1e.PNG&w=3840&q=75,PLR - VD
J.D. Vance n’est pas « très suisse » : pourquoi la lecture de KKS pose problème,15 février 2025,Karin Keller-Sutter,Présidente de la Confédération,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fkarin_keller_sutter_1_481f3281dd.jpg&w=3840&q=75,PLR - SG
Jacqueline de Quattro tient des propos stigmatisants sur les requérants d'asile,13 décembre 2025,Jacqueline de Quattro,Conseillère nationale,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2Fquattro_364481a19b.png&w=3840&q=75,PLR - VD
Jean-Luc Addor condamné pour discrimination raciale,17 mai 2021,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
Jean-Luc Addor mentionne à nouveau la théorie d'extrême droite du grand remplacement,09 décembre 2025,Jean-Luc Addor,Conseiller national,/_next/image?url=https%3A%2F%2Fapi.nopasaran.ch%2Fuploads%2FJean_Luc_Addor_a8cb33f684.jpg&w=3840&q=75,UDC - VS
